sample_id,condition,agreement
zen.LST.baseline.0_0.sum.uvh5|xx|high_band,A,
zen.LST.baseline.0_0.sum.uvh5|xx|high_band,B,
zen.LST.baseline.0_0.sum.uvh5|yy|high_band,A,
zen.LST.baseline.0_0.sum.uvh5|yy|high_band,B,
zen.LST.baseline.0_1.sum.uvh5|xx|high_band,A,
zen.LST.baseline.0_1.sum.uvh5|xx|high_band,B,
zen.LST.baseline.0_1.sum.uvh5|yy|high_band,A,
zen.LST.baseline.0_1.sum.uvh5|yy|high_band,B,
zen.LST.baseline.0_2.sum.uvh5|xx|low_band,A,
zen.LST.baseline.0_2.sum.uvh5|xx|low_band,B,
zen.LST.baseline.0_2.sum.uvh5|yy|low_band,A,
zen.LST.baseline.0_2.sum.uvh5|yy|low_band,B,
zen.LST.baseline.0_3.sum.uvh5|xx|low_band,A,
zen.LST.baseline.0_3.sum.uvh5|xx|low_band,B,
zen.LST.baseline.0_3.sum.uvh5|yy|low_band,A,
zen.LST.baseline.0_3.sum.uvh5|yy|low_band,B,
zen.LST.baseline.0_4.sum.uvh5|xx|high_band,A,
zen.LST.baseline.0_4.sum.uvh5|xx|high_band,B,
zen.LST.baseline.0_4.sum.uvh5|yy|high_band,A,
zen.LST.baseline.0_4.sum.uvh5|yy|high_band,B,
zen.LST.baseline.0_5.sum.uvh5|xx|low_band,A,
zen.LST.baseline.0_5.sum.uvh5|xx|low_band,B,
zen.LST.baseline.0_5.sum.uvh5|yy|low_band,A,
zen.LST.baseline.0_5.sum.uvh5|yy|low_band,B,
zen.LST.baseline.0_6.sum.uvh5|xx|high_band,A,
zen.LST.baseline.0_6.sum.uvh5|xx|high_band,B,
zen.LST.baseline.0_6.sum.uvh5|yy|high_band,A,
zen.LST.baseline.0_6.sum.uvh5|yy|high_band,B,
zen.LST.baseline.0_7.sum.uvh5|xx|low_band,A,
zen.LST.baseline.0_7.sum.uvh5|xx|low_band,B,
zen.LST.baseline.0_7.sum.uvh5|yy|high_band,A,
zen.LST.baseline.0_7.sum.uvh5|yy|high_band,B,
