window_idx,i,j,satellite_i,satellite_j,peak_coherence,peak_delay_ns,mean_coherence,p95_coherence
0,0,1,,,0.9999999884670487,-4016.0,0.9999998511404847,0.9999999240578106
0,0,2,,,0.9999999900920162,-4016.0,0.9999998582205087,0.9999999301419737
0,0,3,,,0.9954306841461216,3306.6666666666665,0.8993415661284109,0.9252600824924038
0,0,4,,,0.9999999850660015,-4016.0,0.9999997823987613,0.9999998923007033
0,0,5,,,0.9954280095827969,3306.6666666666665,0.8993703386001147,0.9252946557576649
0,0,6,,,0.9954285346283691,3306.6666666666665,0.8993800893380888,0.9253045601866104
0,0,7,,,0.9954285346283691,3306.6666666666665,0.8993800893380888,0.9253045601866104
0,0,8,,,0.999999968067696,-4016.0,0.9999995526395647,0.9999997763807996
0,0,9,,,0.9954278792398996,3306.6666666666665,0.8994171470132096,0.9253408000965017
0,0,10,,,0.9954278792398996,3306.6666666666665,0.8994171470132096,0.9253408000965017
0,0,11,,,1.4033438632765286e-16,3312.0,4.607267302390523e-18,1.4868497867590614e-17
0,0,12,,,1.4033438632765286e-16,3312.0,4.607267302390523e-18,1.4868497867590614e-17
0,0,13,,,1.4036225041153936e-16,3312.0,4.60817209326403e-18,1.487050713938457e-17
0,0,14,,,1.4036225041153936e-16,3312.0,4.60817209326403e-18,1.487050713938457e-17
0,0,15,,,1.405079492783797e-16,3312.0,4.6129522779524286e-18,1.4882103818027036e-17
0,0,16,,,1.1951105226571255e-17,3312.0,4.862767795312907e-19,1.5228198613590284e-18
0,0,17,,,1.191407669734838e-17,3312.0,4.84933940563026e-19,1.5184959083040445e-18
0,0,18,,,1.191407669734838e-17,3312.0,4.84933940563026e-19,1.5184959083040445e-18
0,0,19,,,1.2004000311729368e-17,3312.0,4.882029649156256e-19,1.5289931695464154e-18
0,0,20,,,1.182451292488331e-17,3312.0,4.816741688836087e-19,1.5080270122668372e-18
0,0,21,,,1.182451292488331e-17,3312.0,4.816741688836087e-19,1.5080270122668372e-18
0,0,22,,,0.7387309292773433,-3637.3333333333335,0.4479571944608424,0.5347004780475239
0,0,23,,,0.7384097846281441,-3637.3333333333335,0.44753850498346415,0.534305676034597
0,0,24,,,0.7387410217312957,-3637.3333333333335,0.4479410882053609,0.5346909730299914
0,0,25,,,0.7385647957089663,-3637.3333333333335,0.44773678689269253,0.5344976355420463
0,0,26,,,0.7385647957089663,-3637.3333333333335,0.44773678689269253,0.5344976355420463
0,0,27,,,0.7383348518697794,-3637.3333333333335,0.44745622995870393,0.5342296559774817
0,0,28,,,1.765315226721994e-18,3312.0,7.494560936631591e-20,2.260145609141998e-19
0,0,29,,,1.765315226721994e-18,3312.0,7.494560936631591e-20,2.260145609141998e-19
0,0,30,,,1.7535871194160573e-18,3312.0,7.434101106802245e-20,2.2437184341594794e-19
0,0,31,,,1.7561503926950307e-18,3312.0,7.44499721079415e-20,2.2471119831574733e-19
0,0,32,,,1.7570030013912044e-18,3312.0,7.449475831141446e-20,2.247965202490659e-19
0,0,33,,,1.7582404829506565e-18,3312.0,7.454872389572233e-20,2.2493729274416403e-19
0,0,34,,,1.7582404829506565e-18,3312.0,7.454872389572233e-20,2.2493729274416403e-19
0,0,35,,,0.9950451111261815,-4005.333333333333,0.9293608420275211,0.9537019782170162
0,0,36,,,0.9950447539895475,-4005.333333333333,0.9293606560696596,0.9536917287512647
0,0,37,,,0.9950350764970082,-4005.333333333333,0.9293393093368394,0.9537338873494297
0,0,38,,,0.995093220112998,-4005.333333333333,0.929489194454623,0.9535795601373025
0,0,39,,,0.9855855886745347,-4048.0,0.9240419697081993,0.9334610405971066
0,0,40,,,0.9855855886745347,-4048.0,0.9240419697081993,0.9334610405971066
0,0,41,,,0.9855815087411851,-4048.0,0.9240372866884327,0.9334212518218669
0,0,42,,,0.9855802269671048,-4048.0,0.9240348265283606,0.933414176499788
0,0,43,,,0.9957918491983805,-3194.6666666666665,0.9670735491753666,0.9769605333269927
0,0,44,,,0.9957985071084241,-3194.6666666666665,0.9670953764927974,0.9769786748930966
0,0,45,,,0.9958148668444519,-3194.6666666666665,0.9671393953059176,0.9770108924666
0,0,46,,,0.9958422444541292,-3194.6666666666665,0.9672072789228854,0.9770571748506665
0,0,47,,,0.9958422444541292,-3194.6666666666665,0.9672072789228854,0.9770571748506665
0,0,48,,,0.9958155414436933,-3194.6666666666665,0.9671421034149951,0.9770121693100053
0,0,49,,,0.9841371480588468,-3200.0,0.9407846081805546,0.9587557439717451
0,1,2,,,0.9999999999757068,-3152.0,0.9999999997519499,0.9999999998301401
0,1,3,,,0.9954300899411895,3306.6666666666665,0.8992584016209663,0.9253100306744576
0,1,4,,,0.9999999995917948,-4016.0,0.9999999931895935,0.9999999970256197
0,1,5,,,0.9954275171010064,3306.6666666666665,0.8992870969929934,0.9253444728938455
0,1,6,,,0.9954280433400081,3306.6666666666665,0.8992968410631592,0.9253543616497532
0,1,7,,,0.9954280433400081,3306.6666666666665,0.8992968410631592,0.9253543616497532
0,1,8,,,0.9999999942668741,-4058.6666666666665,0.9999999122799906,0.9999999573650484
